test,subtest,type,chc,norms,scoretype,minage,maxage,sem1,sem2,sem3,sem4,sem5,sem6,sem7,sem8,sem9,sem10,sem11,sem12,sem13,sem14,sem15,sem16,sem17,sem18,sem19,sem20,sem21,sem22,sem23,sem24,sem25,sem26,sem27,sem28,sem29,sem30,sem31,sem32,sem33,sem34,sem35,sem36,sem37,sem38,sem39,sem40,sem41,sem42,sem43,sem44,sem45,sem46,sem47,sem48,sem49,sem50,sem51,sem52,sem53,sem54,sem55,sem56,sem57,sem58,sem59,sem60,sem61,sem62,sem63,sem64,sem65,sem66,sem67,sem68,sem69,sem70,sem71,sem72,sem73,sem74,sem75,sem76,sem77,sem78,sem79,sem80,sem81,sem82,sem83,sem84,sem85,sem86,sem87,sem88,sem89,sem90
WISC-V,Naming Speed Literacy,cognitive,Gr:NA,both,standard,6,16,,,,,,5.81,5.81,6.87,6.87,6.36,6.36,5.61,5.61,4.24,4.24,4.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIAT-III,Listening Comprehension,achievement,Gc:LS,us,standard,4,50,,,,5.81,6.54,5.81,6.18,6.36,6.18,5.41,6.71,6,6.54,6.18,5.61,7.04,6.87,6.87,6.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIAT-III,Oral Expression,achievement,Gc:VL,us,standard,4,50,,,,5.41,5.81,5.41,5.41,5.2,5.41,5.41,5.81,5.41,6.71,4.97,4.97,5.61,5.2,5.2,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIAT-III,Early Reading Skills,achievement,Grw:RD,us,standard,4,50,,,,3.67,3.97,4.74,6.54,5.61,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIAT-III,Word Reading,achievement,Grw:RD,us,standard,4,50,,,,,,2.6,2.12,2.6,2.12,2.6,2.12,2.6,3,2.6,3,2.6,2.6,2.6,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIAT-III,Pseudoword Decoding,achievement,Grw:RD,us,standard,4,50,,,,,,3,2.6,2.6,2.12,2.6,2.6,2.6,2.6,2.6,3,2.6,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIAT-III,Reading Comprehension,achievement,Grw:RC,us,standard,4,50,,,,,,3.97,4.5,5.41,6.71,4.97,6,6.18,5.61,6,5.81,6.87,6.18,6.18,6.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIAT-III,Oral Reading Fluency,achievement,Grw:RS,us,standard,4,50,,,,,,4.24,4.24,4.24,4.24,4.24,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIAT-III,Alphabet Writing Fluency,achievement,Grw:WS,us,standard,4,50,,,,8.35,8.35,8.35,8.35,8.35,8.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIAT-III,Spelling,achievement,Grw:SG,us,standard,4,50,,,,,4.97,3.67,3.67,3.35,3.35,3.35,3,3,3.35,2.6,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIAT-III,Sentence Composition,achievement,Grw:WA,us,standard,4,50,,,,,,4.97,4.74,5.61,4.97,6,4.97,5.41,5.2,5.41,6,5.41,5.41,5.41,5.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIAT-III,Essay Composition,achievement,Grw:WA,us,standard,4,50,,,,,,,,4.97,5.2,5.2,5.41,5.2,5.2,5.41,5.2,5.41,5.2,5.2,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIAT-III,Math Problem Solving,achievement,Gq:A3,us,standard,4,50,,,,4.74,3.97,4.5,4.97,4.74,5.41,4.5,4.24,4.24,4.24,3.97,4.5,4.24,3.35,3.35,3.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIAT-III,Numerical Operations,achievement,Gq:A3,us,standard,4,50,,,,,4.5,3.97,4.5,4.24,4.74,3.97,4.97,3,4.5,3.35,3,3.67,2.6,2.6,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIAT-III,Math Fluency - Addition,achievement,Gq:A3,us,standard,4,50,,,,,,6.54,6.54,6.54,6.54,6.54,5.41,5.41,5.41,5.41,5.41,5.41,5.41,5.41,5.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIAT-III,Math Fluency - Subtraction,achievement,Gq:A3,us,standard,4,50,,,,,,4.97,4.97,4.97,4.97,4.97,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIAT-III,Math Fluency - Multiplication,achievement,Gq:A3,us,standard,4,50,,,,,,,,4.5,4.5,4.5,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WJ IV COG,Oral Vocabulary,cognitive,Gc:VL,us,standard,2,90,,,,4.97,4.74,4.74,4.74,4.74,5.41,5.41,6,6,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97
WJ IV COG,General Information,cognitive,Gc:K0,us,standard,2,90,,4.74,4.74,4.74,6,6,6.18,6.18,6.18,6.18,6.87,6.87,6,6,5.61,5.61,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67
